1,0001 - F-Zero(JP).zip,F - Zero ,J,最高时速零式未来赛车,J, RCG
2,0002 - Super Mario Advance(JP).zip,Super Mario Advance ,J,超级马里奥A,J, ACT
3,0003 - Battle Network Rockman EXE(JP).zip,Battle Network Rockman EXE ,J,洛克人 - 网络战斗EXE1,J, A·RPG
4,0004 - Kurukuru Kururin(JP).zip,Kurukuru Kururin ,J,滚滚棒,J, PUZ
5,0005 - Mr. Driller 2(JP).zip,Mr. Driller 2 ,J,钻地先生2,J, PUZ
6,0006 - Chu Chu Rocket!(JP).zip,Chu Chu Rocket! ,M5,咕噜咕噜啾啾火箭队,M5, PUZ
7,0007 - Akumajou Dracula - Circle of the Moon(JP).zip,Akumajou Dracula - Circle of the Moon ,J,恶魔城 - 月之轮回,J, A·RPG
8,0008 - Advance GTA(JP).zip,Advance GTA ,U,GTA职业概念锦标赛车,E, RCG
9,0009 - Konami Wai Wai Racing Advance(JP).zip,Konami Wai Wai Racing Advance ,J,科纳米哇哇赛车,J, RCG
10,0010 - Bakunetsu Dodge Ball Fighters(JP).zip,Bakunetsu Dodge Ball Fighters ,J,超级躲避球A,J, SPG
11,0011 - Pinobee no Daibouken(JP).zip,Pinobee no Daibouken ,J,匹诺比之大冒险,J, ACT
12,0012 - Power Pro Kun Pocket 3(JP).zip,Power Pro Kun Pocket 3 ,J,实况Q版口袋棒球3,J, TCG
13,0013 - Napoleon(JP).zip,Napoleon ,J,拿破仑,J, RTS
14,0014 - Zen-Nippon GT Senshuken(JP).zip,Zen - Nippon GT Senshuken ,J,全日本顶级GT选手锦标赛车,E, RCG
15,0015 - Fire Pro Wrestling A(JP).zip,Fire Pro Wrestling A ,J,火炎职业摔跤A,J, SPG
16,0016 - Tweety no Hearty Party(JP).zip,Tweety no Hearty Party ,J,托蒂的欢乐派对之不可思议的宝石,J, PUZ
17,0017 - JGTO Kounin Golf Master - Japan Golf Tour Game(JP).zip,JGTO Kounin Golf Master - Japan Golf Tour Game ,J,高尔夫大师,J, SPG
18,0018 - Winning Post(JP).zip,Winning Post ,J,冠军赛马,J, TCG
19,0019 - Silent Hill - Play Novel(JP).zip,Silent Hill - Play Novel ,J,寂静岭,J, AVG
20,0020 - Yu-Gi-Oh! Dungeon Dice Monsters(JP).zip,Yu - Gi - Oh! Dungeon Dice Monsters ,J,游戏王 - 地牢方块妖怪,J, RPG
21,0021 - Boku ha Koukuu Kanseikan(JP).zip,Boku ha Koukuu Kanseikan ,J,我是航空管制官,J, ETC
22,0022 - J.League Pocket(JP).zip,J.League Pocket ,J,J联盟足球口袋版,J, TCG
23,0023 - Momotarou Matsuri(JP).zip,Momotarou Matsuri ,J,桃太郎祭典,J, RPG
24,0024 - Monster Guardians(JP).zip,Monster Guardians ,J,妖怪守护者,J, SLG
25,0025 - Super Mario Advance(UE).zip,Super Mario Advance ,U,超级马里奥A,E, ACT
26,0026 - Final Fight One(JP).zip,Final Fight One ,J,快打旋风ONE,J, ACT
27,0027 - Bomberman Story(JP).zip,Bomberman Story ,J,炸 - 弹人传说,J, A·RPG
28,0028 - Iridion 3D(UE).zip,Iridion 3D ,U,伊登战机,E, STG
29,0029 - Pinobee - Wings of Adventure(UE).zip,Pinobee - Wings of Adventure ,U,匹诺比的冒险徽章,E, ACT
30,0030 - Ready 2 Rumble Boxing - Round 2(US).zip,Ready 2 Rumble Boxing - Round 2 ,U,暴力拳击2,E, SPG
31,0031 - Konami Krazy Racers(US).zip,Konami Krazy Racers ,U,科纳米疯狂赛车手,E, RCG
32,0032 - Castlevania - Circle of the Moon(EU).zip,Castlevania - Circle of the Moon ,E,恶魔城 - 月之轮回,E, A·RPG
33,0033 - Tony Hawk's Pro Skater 2(UE).zip,Tony Hawk's Pro Skater 2 ,U,托尼·霍克职业滑板2,E, SPG
34,0034 - GT Advance - Championship Racing(UE).zip,GT Advance - Championship Racing ,U,GT职业概念锦标车赛,E, RCG
35,0035 - Namco Museum(US).zip,Namco Museum ,U,南梦宫经典博物馆,E, ETC
36,0036 - Chu Chu Rocket!(US).zip,Chu Chu Rocket! ,M5,咕噜咕噜啾啾火箭队,M5, PUZ
37,0037 - Earthworm Jim(UE).zip,Earthworm Jim ,U,蚯蚓吉姆,E, ACT
38,0038 - Pitfall - The Mayan Adventure(UE).zip,Pitfall - The Mayan Adventure ,U,玛亚历险,E, ACT
39,0039 - Army Men Advance(UE).zip,Army Men Advance ,M5,玩具军人,M5, ACT
40,0040 - Super Dodge Ball Advance(US).zip,Super Dodge Ball Advance ,U,超级躲避球A,E, SPG
41,0041 - F-Zero - Maximum Velocity(UE).zip,F - Zero - Maximum Velocity ,U,最高时速零式未来赛车,E, RCG
42,0042 - Fire Pro Wrestling(UE).zip,Fire Pro Wrestling ,U,火炎职业摔跤,E, SPG
43,0043 - Konami Krazy Racers(EU).zip,Konami Krazy Racers ,E,科拿米疯狂赛车手,E, RCG
44,0044 - Ready 2 Rumble Boxing - Round 2(EU).zip,Ready 2 Rumble Boxing - Round 2 ,M3,暴力拳击2,M3, SPG
45,0045 - Castlevania - Circle of the Moon(US).zip,Castlevania - Circle of the Moon ,U,恶魔城 - 月之轮回,E, A·RPG
46,0046 - Rayman Advance(US).zip,Rayman Advance ,M5,雷曼A,M5, ACT
47,0047 - Tactics Ogre Gaiden - The Knight of Lodis(JP).zip,Tactics Ogre Gaiden - The Knight of Lodis ,J,皇家骑士团外传,J, SLG
48,0048 - Kurukuru Kururin(EU).zip,Kurukuru Kururin ,E,滚滚棒,E, PUZ
49,0049 - Top Gear GT Championship(EU).zip,Top Gear GT Championship ,E,全日本顶级GT选手锦标赛车,E, RCG
50,0050 - Super Mario Advance(UE).zip,Super Mario Advance ,E,超级马里奥A,E, ACT
51,0051 - Rayman Advance(EU).zip,Rayman Advance ,M5,雷曼A,M5, ACT
52,0052 - Tweety and the Magic Gems(EU).zip,Tweety and the Magic Gems ,E,托蒂的欢乐派对之不可思议的宝石,E, PUZ
53,0053 - Tony Hawk's Pro Skater 2(DE).zip,Tony Hawk's Pro Skater 2 ,G,托尼·霍克职业滑板2,G, SPG
54,0054 - Narikiri Jockey Game - Yuushun Rhapsody(JP).zip,Narikiri Jockey Game - Yuushun Rhapsody ,J,优俊赛马,J, TCG
55,0055 - Choro Q Advance(JP).zip,Choro Q Advance ,J,Q版赛车A,J, RCG
56,0056 - Toyrobo Force(JP).zip,Toyrobo Force ,J,玩具机器人,J, S·RPG
57,0057 - Hot Potato!(US).zip,Hot Potato! ,U,火热的马铃薯,E, PUZ
58,0058 - Bomberman Tournament(UE).zip,Bomberman Tournament ,U,炸弹人传说,E, A·RPG
59,0059 - Tony Hawk's Pro Skater 2(FR).zip,Tony Hawk's Pro Skater 2 ,F,托尼·霍克职业滑板2,F, SPG
60,0060 - Breath of Fire - Ryuu no Senshi(JP).zip,Breath of Fire - Ryuu no Senshi ,J,龙战士,J, RPG
61,0061 - Yu-Gi-Oh! Duel Monsters 5 Expert 1(JP).zip,Yu - Gi - Oh! Duel Monsters 5 Expert 1 ,J,游戏王5 - 双重恶魔,J, CAG
62,0062 - Super Street Fighter II X - Revival(JP).zip,Super Street Fighter II X - Revival ,J,超级街霸II - X复甦,J, FTG
63,0063 - Mahjong Keiji(JP).zip,Mahjong Keiji ,J,麻雀刑事,J, TAB
64,0064 - Pac-Man Collection(US).zip,Pac - Man Collection ,U,吃豆小精灵全集,E, ETC
65,0065 - Titi et les Bijoux Magiques(FR).zip,Titi et les Bijoux Magiques ,F,托蒂的欢乐派对之不可思议的宝石,F, TAB
66,0066 - EX Monopoly(JP).zip,EX Monopoly ,J,大富翁EX垄断,J, TAB
67,0067 - Minna no Shiiku Series 1 - Boku no Kabuto Mushi(JP).zip,Minna no Shiiku Series 1 - Boku no Kabuto Mushi ,J,大家一起养系列 - 我的甲虫,J, TAB
68,0068 - GetBackers Dakkanya - Jigoku no Scaramouche(JP).zip,GetBackers Dakkanya - Jigoku no Scaramouche ,J,闪灵二人组,J, RPG
69,0069 - Space Hexcite - Maetel Legend EX(JP).zip,Space Hexcite - Maetel Legend EX ,J,宇宙战舰EX,J, TAB
70,0070 - Kaze no Klonoa - Yumemiru Teikoku(JP).zip,Kaze no Klonoa - Yumemiru Teikoku ,J,风之克罗帝亚 - 梦见帝国,J, ACT
71,0071 - Mario Kart Advance(JP).zip,Mario Kart Advance ,J,马里奥赛车A超级巡回赛,J, RCG
72,0072 - Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu!(JP).zip,Doraemon - Midori no Wakusei Dokidoki Daikyuushutsu! ,J,机器猫 - 绿之惑星拯救作战,J, A·RPG
73,0073 - Jurassic Park III - The DNA Factor(US).zip,Jurassic Park III - The DNA Factor ,U,侏罗纪公园3 - DNA基因,E, ACT
74,0074 - Kinniku Banzuke - Kongou-kun no Daibouken!(JP).zip,Kinniku Banzuke - Kongou - kun no Daibouken! ,J,筋番付肉 - 金刚君的大冒险,J, ETC
75,0075 - JGTO Kounin Golf Master Mobile - Japan Golf Tour Game(JP).zip,JGTO Kounin Golf Master Mobile - Japan Golf Tour Game ,J,高尔夫达人,J, SPG
76,0076 - Zero-Tours(JP).zip,Zero - Tours ,J,零度旅行,J, RPG
77,0077 - Sutakomi - Star Communicator(JP).zip,Sutakomi - Star Communicator ,J,星际通讯战,J, TCG
78,0078 - Mobile Pro Yakyuu - Kantoku no Saihai(JP).zip,Mobile Pro Yakyuu - Kantoku no Saihai ,J,职业棒球 - 行动版,J, SPG
79,0079 - Ougon no Taiyou - Hirakareshi Fuuin(JP).zip,Ougon no Taiyou - Hirakareshi Fuuin ,J,黄金的太阳 - 开启的封印,J, RPG
80,0080 - Dokapon Q - Monster Hunter!(JP).zip,Dokapon Q - Monster Hunter! ,J,多卡邦Q怪物猎人,J, RPG
81,0081 - Minna no Shiiku Series 2 - Boku no Kuwagata(JP).zip,Minna no Shiiku Series 2 - Boku no Kuwagata ,J,大家一起养系列 - 我的变形虫,J, TCG
82,0082 - Jurassic Park III - Kyouryuu ni Ainiikou!(JP).zip,Jurassic Park III - Kyouryuu ni Ainiikou! ,J,侏罗纪公园3 - 公园建设者,J, SLG
83,0083 - Final Fight One(EU).zip,Final Fight One ,J,快打旋风ONE,E, ACT
84,0084 - Super Black Bass Advance(JP).zip,Super Black Bass Advance ,J,超级黑巴斯钓鱼,J, ETC
85,0085 - Tanbi Musou - Meine Liebe(JP).zip,Tanbi Musou - Meine Liebe ,J,耽美梦想,J, TCG
86,0086 - Mario Kart - Super Circuit(US).zip,Mario Kart - Super Circuit ,U,马里奥赛车超级巡回赛,E, RCG
87,0087 - Kiwame Mahjong Deluxe - Mirai Senshi 21(JP).zip,Kiwame Mahjong Deluxe - Mirai Senshi 21 ,J,究级麻将 - 未来战士21杯,J, TAB
88,0088 - Fortress(UE).zip,Fortress ,U,堡垒,E, TAB
89,0089 - Jurassic Park III - The DNA Factor(EU).zip,Jurassic Park III - The DNA Factor ,M5,侏罗纪公园3 - DNA基因,M5, ACT
90,0090 - Wario Land Advance(JP).zip,Wario Land Advance ,J,瓦里奥世界4,J, ACT
91,0091 - Tweety and the Magic Gems(DE).zip,Tweety and the Magic Gems ,G,托蒂的欢乐派对之不可思议的宝石,G, TAB
92,0092 - Jurassic Park III - Advanced Action(JP).zip,Jurassic Park III - Advanced Action ,J,侏罗纪公园3高级行动 - 岛屿的进攻,J, ACT
93,0093 - ESPN Final Round Golf 2002(US).zip,ESPN Final Round Golf 2002 ,U,ESPN高尔夫总决赛2002,E, SPG
94,0094 - Tang Tang(US).zip,Tang Tang ,U,轰炸索罗门,E, ACT
95,0095 - Advance Wars(US).zip,Advance Wars ,U,高级战争,E, SLG
96,0096 - F-14 Tomcat(UE).zip,F - 14 Tomcat ,U,F - 14雄猫,E, STG
