10yard,Chinese Name,十码大战 (世界版, 第 1 套)
10yard85,Chinese Name,十码大战 '85 (美版, Taito 授权)
10yardj,Chinese Name,十码大战 (日版)
1941,Chinese Name,1941 - 反击战 (世界版 900227)
1941j,Chinese Name,1941 - 反击战 (日版)
1941r1,Chinese Name,1941 - 反击战 (世界版)
1941u,Chinese Name,1941 - 反击战 (美版 900227)
1942,Chinese Name,1942 - 空中大战 (修正版 B)
1942a,Chinese Name,1942 - 空中大战 (修正版 A)
1942abl,Chinese Name,1942 - 空中大战 (修正版 A, 盗版)
1942b,Chinese Name,1942 - 空中大战 (初版)
1942c64,Long Name,1942 (C64 Music)
1942h,Chinese Name,超能 1942 
1942w,Chinese Name,1942 - 空中大战 (Williams Electronics 授权)
1943,Chinese Name,1943 - 中途岛海战 (欧版)
1943b,Chinese Name,1943 - 中途岛海战 (盗版, 日版改版?)
1943b2,Long Name,1943: The Battle of Midway (bootleg set 2, hack of Japan set)
1943bj,Chinese Name,1943 - 中途岛海战 (盗版)
1943j,Chinese Name,1943 - 中途岛海战 (日版, 修正版 B)
1943ja,Chinese Name,1943 - 中途岛海战 (日版)
1943jah,Chinese Name,1943 - 中途岛海战 (日版, no 保护版 修改版)
1943jaha,Long Name,1943: Midway Kaisen (Japan, no protection hack, alt)
1943kai,Chinese Name,1943 改 - 中途岛海战 (日版)
1943mii,Chinese Name,1943 - 中途岛海战 Mark II (美版)
1943u,Chinese Name,1943 - 中途岛海战 (美版, 修正版 C)
1943ua,Chinese Name,1943 - 中途岛海战 (美版)
1944,Chinese Name,1944 - 征服世界 (欧版 000620)
1944ad,Long Name,1944 - the loop master (000620 USA Phoenix Edition, alt)
1944d,Chinese Name,1944 - 征服世界 (美版 000620 凤凰版) (盗版)
1944j,Chinese Name,1944 - 征服世界 (日版 000620)
1944u,Chinese Name,1944 - 征服世界 (美版 000620)
1945kiii,Chinese Name,1945 改 III (新版, OPCX2 PCB)
1945kiiin,Chinese Name,1945 改 III (新版, OPCX1 PCB)
1945kiiio,Chinese Name,1945 改 III (旧版, OPCX1 PCB)
19xx,Chinese Name,19XX - 命运否决战 (欧版 960104)
19xxa,Chinese Name,19XX - 命运否决战 (亚版 960104)
19xxar1,Chinese Name,19XX - 命运否决战 (亚版 951207)
19xxb,Chinese Name,19XX - 命运否决战 (巴西版 951218)
19xxd,Chinese Name,19XX - 命运否决战 (美版 951207 凤凰版) (盗版)
19xxh,Chinese Name,19XX - 命运否决战 (西班牙版 951218)
19xxj,Chinese Name,19XX - 命运否决战 (日版 960104, yellow case)
19xxjr1,Chinese Name,19XX - 命运否决战 (日版 951225)
19xxjr2,Chinese Name,19XX - 命运否决战 (日版 951207)
19xxu,Chinese Name,19XX - 命运否决战 (美版 951207)
2020bb,Chinese Name,2020 年超级棒球 (第 1 套)
2020bba,Chinese Name,2020 年超级棒球 (第 2 套)
2020bbh,Chinese Name,2020 年超级棒球 (第 3 套)
20pacgal,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.08)
20pacgalr0,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.00)
20pacgalr1,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.01)
20pacgalr2,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.02)
20pacgalr3,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.03)
20pacgalr4,Chinese Name,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.04)
25pacman,Chinese Name,吃豆人 - 25周年纪念版 (修正版 3.00)
25pacmano,Chinese Name,吃豆人 - 25周年纪念版 (修正版 2.00)
3countb,Chinese Name,火线摔跤 (NGM-043 ~ NGH-043)
3countba,Long Name,3 Count Bout / Fire Suplex (NGM-043)
3in1semi,Chinese Name,新超男 (3-in-1 with Cookie & Bibi & HyperMan)
3in1semia,Long Name,New HyperMan (3-in-1 with Cookie & Bibi & HyperMan) (set 2)
3kokushi,Chinese Name,三刻志 (日版)
3on3dunk,Chinese Name,3 对 3 疯狂灌篮 (美版, 原型版? 1997/02/04)
3stooges,Chinese Name,三个傀儡 (第 1 套)
3stoogesa,Chinese Name,三个傀儡 (第 2 套)
3wonders,Chinese Name,奇迹三合一 (世界版 910520)
3wondersb,Chinese Name,奇迹三合一 (盗版)
3wondersh,Chinese Name,奇迹三合一 (修改版)
3wondersha,Long Name,Three Wonders (bootleg set 3, wonder 3 910520 etc)
3wondersr1,Chinese Name,奇迹三合一 (世界版 910513)
3wondersu,Chinese Name,奇迹三合一 (美版 910520)
3x3puzzl,Chinese Name,美女智力三合一 (商业版)
3x3puzzla,Chinese Name,美女智力三合一 (普通版)
4dwarrio,Chinese Name,四次元战士 (315-5162)
4enraya,Chinese Name,四连线 (第 1 套)
4enrayaa,Chinese Name,四连线 (第 2 套)
