file,Column2,name,chinese_desc
10yard,Chinese Name,"十码大战 (世界版, 第 1 套)","游戏是以自上而下的视角观看的，是垂直滚动的。玩家不选择进攻或防守的比赛。在进攻中，球员只需在抢球时接球，或者尝试和四分卫一起跑，把球扔给跑后卫，或者把球扔给一个长距离接球手--基本上是选择进攻。在防守上，玩家从两个玩家中选择一个来控制，计算机操纵其他玩家。球也可以平底船或尝试射门。
10场比赛有五个难度，从最容易到最困难：高中、大学、职业、季后赛和超级碗。如果球员在“加速实时”30分钟半场的两半都赢得了更容易的水平，球员就会进入下一个难度级别，就像职业模式一样。"
10yard85,Chinese Name,"十码大战 '85 (美版, Taito 授权)","游戏是以自上而下的视角观看的，是垂直滚动的。玩家不选择进攻或防守的比赛。在进攻中，球员只需在抢球时接球，或者尝试和四分卫一起跑，把球扔给跑后卫，或者把球扔给一个长距离接球手--基本上是选择进攻。在防守上，玩家从两个玩家中选择一个来控制，计算机操纵其他玩家。球也可以平底船或尝试射门。
10场比赛有五个难度，从最容易到最困难：高中、大学、职业、季后赛和超级碗。如果球员在“加速实时”30分钟半场的两半都赢得了更容易的水平，球员就会进入下一个难度级别，就像职业模式一样。"
10yardj,Chinese Name,十码大战 (日版),"游戏是以自上而下的视角观看的，是垂直滚动的。玩家不选择进攻或防守的比赛。在进攻中，球员只需在抢球时接球，或者尝试和四分卫一起跑，把球扔给跑后卫，或者把球扔给一个长距离接球手--基本上是选择进攻。在防守上，玩家从两个玩家中选择一个来控制，计算机操纵其他玩家。球也可以平底船或尝试射门。
10场比赛有五个难度，从最容易到最困难：高中、大学、职业、季后赛和超级碗。如果球员在“加速实时”30分钟半场的两半都赢得了更容易的水平，球员就会进入下一个难度级别，就像职业模式一样。"
1941,Chinese Name,1941 - 反击战 (世界版 900227),"目标是击落敌机并收集武器能量（战俘）。一个人每个级别只能执行三个循环，在级别结束时，对于未使用的循环，将获得奖金。玩家1使用P-38闪电，玩家2使用蚊子Mk IV。游戏从最初的太平洋战线设置转变为西线设置。

游戏由六个级别组成。

这是第一次投篮，当使用继续时，他们将比分加1。[1]"
1941j,Chinese Name,1941 - 反击战 (日版),"目标是击落敌机并收集武器能量（战俘）。一个人每个级别只能执行三个循环，在级别结束时，对于未使用的循环，将获得奖金。玩家1使用P-38闪电，玩家2使用蚊子Mk IV。游戏从最初的太平洋战线设置转变为西线设置。

游戏由六个级别组成。

这是第一次投篮，当使用继续时，他们将比分加1。[1]"
1941r1,Chinese Name,1941 - 反击战 (世界版),"目标是击落敌机并收集武器能量（战俘）。一个人每个级别只能执行三个循环，在级别结束时，对于未使用的循环，将获得奖金。玩家1使用P-38闪电，玩家2使用蚊子Mk IV。游戏从最初的太平洋战线设置转变为西线设置。

游戏由六个级别组成。

这是第一次投篮，当使用继续时，他们将比分加1。[1]"
1941u,Chinese Name,1941 - 反击战 (美版 900227),"目标是击落敌机并收集武器能量（战俘）。一个人每个级别只能执行三个循环，在级别结束时，对于未使用的循环，将获得奖金。玩家1使用P-38闪电，玩家2使用蚊子Mk IV。游戏从最初的太平洋战线设置转变为西线设置。

游戏由六个级别组成。

这是第一次投篮，当使用继续时，他们将比分加1。[1]"
1942,Chinese Name,1942 - 空中大战 (修正版 B),"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1942a,Chinese Name,1942 - 空中大战 (修正版 A),"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1942abl,Chinese Name,"1942 - 空中大战 (修正版 A, 盗版)","《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1942b,Chinese Name,1942 - 空中大战 (初版),"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1942c64,Long Name,1942 - 空中大战 (C64 Music),"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
1942h,Chinese Name,超能 1942 ,"《1942》是二战期间太平洋剧院的垂直滚动射击，目标是到达东京，摧毁整个日本舰队。

玩家驾驶一架被称为“超级王牌”的飞机（它的外观是洛克希德P-38闪电），必须击落敌机的波波，同时避免敌人的火力。“超级王牌”可以执行有限数量的滚动或“循环”来躲避敌机和射击。

在游戏中，红色敌机的波浪定期出现。如果玩家设法摧毁了红波，一个以“战俘”符号形式的加电将被丢弃，并可以被捡起来。加电将获得增加的火力（玩家的枪从两支增加到四支），一个智能炸弹，在收集到的瞬间摧毁屏幕上的所有敌机，两架僚机，在超级王牌两侧并增加火力，或者仅仅是额外的分数。

在每个阶段结束时，“超级王牌”降落在航空母舰上，根据玩家的表现获得加分。“1942”与其他游戏的不同之处在于，它的级别是按相反的顺序编号的，所以游戏从第32阶段开始，到第1阶段结束。"
