file,name
005,005 情报员 
100lions,"一百雄狮 (10219211, NSW/ACT)"
10yard,"十码大战 (世界版, 第 1 套)"
10yard85,"十码大战 '85 (美版, Taito 授权)"
10yardj,十码大战 (日版)
11beat,足球十一强 
15lions,"15 雄狮 (10166211, Queensland)"
18w,18 轮大卡车 (第 1 套)
18w2,18 轮大卡车 (第 2 套)
18wheelr,"18 轮大卡车 (豪华版, 修正版 A)"
18wheelro,18 轮大卡车 (豪华版)
18wheelrt,"18 轮大卡车 (豪华版, 修正版 T)"
18wheels,18 轮大卡车 (标准版)
18wheelu,18 轮大卡车 (竖立机台)
1941,1941 - 反击战 (世界版 900227)
1941j,1941 - 反击战 (日版)
1941r1,1941 - 反击战 (世界版)
1941u,1941 - 反击战 (美版 900227)
1942,1942 - 空中大战 (修正版 B)
1942a,1942 - 空中大战 (修正版 A)
1942abl,"1942 - 空中大战 (修正版 A, 盗版)"
1942b,1942 - 空中大战 (初版)
1942h,超能 1942 
1942p,"1942 - 空中大战 (Tecfri PCB, 盗版?)"
1942w,1942 - 空中大战 (Williams Electronics 授权)
1943,1943 - 中途岛海战 (欧版)
1943b,"1943 - 中途岛海战 (盗版, 日版改版?)"
1943bj,1943 - 中途岛海战 (盗版)
1943j,"1943 - 中途岛海战 (日版, 修正版 B)"
1943ja,1943 - 中途岛海战 (日版)
1943jah,"1943 - 中途岛海战 (日版, no 保护版 修改版)"
1943kai,1943 改 - 中途岛海战 (日版)
1943mii,1943 - 中途岛海战 Mark II (美版)
1943u,"1943 - 中途岛海战 (美版, 修正版 C)"
1943ua,1943 - 中途岛海战 (美版)
1944,1944 - 征服世界 (欧版 000620)
1944d,1944 - 征服世界 (美版 000620 凤凰版) (盗版)
1944j,1944 - 征服世界 (日版 000620)
1944u,1944 - 征服世界 (美版 000620)
1945kiii,"1945 改 III (新版, OPCX2 PCB)"
1945kiiin,"1945 改 III (新版, OPCX1 PCB)"
1945kiiio,"1945 改 III (旧版, OPCX1 PCB)"
19in1,19 合 1 MAME 盗版 (BAR-V000)
19xx,19XX - 命运否决战 (欧版 960104)
19xxa,19XX - 命运否决战 (亚版 960104)
19xxar1,19XX - 命运否决战 (亚版 951207)
19xxb,19XX - 命运否决战 (巴西版 951218)
19xxd,19XX - 命运否决战 (美版 951207 凤凰版) (盗版)
19xxh,19XX - 命运否决战 (西班牙版 951218)
19xxj,"19XX - 命运否决战 (日版 960104, yellow case)"
19xxjr1,19XX - 命运否决战 (日版 951225)
19xxjr2,19XX - 命运否决战 (日版 951207)
19xxu,19XX - 命运否决战 (美版 951207)
1on1gov,一对一 (日版)
2020bb,2020 年超级棒球 (第 1 套)
2020bba,2020 年超级棒球 (第 2 套)
2020bbh,2020 年超级棒球 (第 3 套)
20pacgal,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.08)
20pacgalr0,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.00)
20pacgalr1,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.01)
20pacgalr2,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.02)
20pacgalr3,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.03)
20pacgalr4,吃豆小姐/大蜜蜂 1981 合集 - 20周年纪念版 (V1.04)
24cdjuke,Midcoin 点唱机 24CD 
25pacman,吃豆人 - 25周年纪念版 (修正版 3.00)
25pacmano,吃豆人 - 25周年纪念版 (修正版 2.00)
280zzzap,赛车道 280 
2mindril,二分钟冲刺 (版本 2.93A 1994/02/16)
2spicy,双辣 
30test,30 测试 (remake)
39in1,39 合 1 MAME 盗版 (GNO-V000)
3bagflnz,"3 袋全满 (3VXFC5345, 新西兰版)"
3bagflvt,"3 袋全满 (5VXFC790, 维多利亚版)"
3countb,火线摔跤 (NGM-043 ~ NGH-043)
3in1semi,新超男 (3-in-1 with Cookie & Bibi & HyperMan)
3kokushi,三刻志 (日版)
3lilpigs,三只小猪 
3on3dunk,"3 对 3 疯狂灌篮 (美版, 原型版? 1997/02/04)"
3stooges,三个傀儡 (第 1 套)
3stoogesa,三个傀儡 (第 2 套)
3super8,3 超级 8 (意大利版)
3wishrd,三个红愿望 (俄版) (Atronic)
3wonders,奇迹三合一 (世界版 910520)
3wondersb,奇迹三合一 (盗版)
3wondersh,奇迹三合一 (修改版)
3wondersr1,奇迹三合一 (世界版 910513)
3wondersu,奇迹三合一 (美版 910520)
3x3puzzl,美女智力三合一 (商业版)
3x3puzzla,美女智力三合一 (普通版)
40love,网球 40-0 (世界版)
40lovej,网球 40-0 (日版)
48in1,"48 合 1 MAME 盗版 (第 1 套, 版本 3.09, HPH-V000)"
48in1a,"48 合 1 MAME 盗版 (第 3 套, 版本 3.02, HPH-V000)"
48in1b,"48 合 1 MAME 盗版 (第 2 套, 版本 3.09, HPH-V000, 闪存替换版)"
4dwarrio,四次元战士 (315-5162)
4enlinea,在线之四 (修正版. A-07)
4enlineb,在线之四 (修正版. A-06)
4enraya,四连线 (第 1 套)
4enrayaa,四连线 (第 2 套)
4in1,欢乐四合一 
4in1a,"4 合 1 MAME 盗版 (第 1 套, 版本 3.00, PLZ-V014)"
4in1b,"4 合 1 MAME 盗版 (第 2 套, PLZ-V001)"
4in1boot,"益智游戏王 (PacMan 2, Tetris, HyperMan 2, 雪人兄弟)"
4psimasy,四人麻将 (日版)
4roses,"四玫瑰 (加密板, 第 1 套)"
4rosesa,"四玫瑰 (加密板, 第 2 套)"
500gp,"极速狂飙 (美版, 5GP3 版本. C)"
50lionrr,"50雄狮 - 咆哮的财富 (20301311, NSW/ACT)"
50lions,"50 雄狮 (10120511, NSW/ACT)"
50lionsm,"50 雄狮 (10156111, 马来西亚版)"
5acespkr,五张牌扑克 
5clown,"五扑克 (英版, 第 1 套)"
5clowna,"五扑克 (英版, 第 2 套)"
5clownsp,五扑克 (西班牙版 修改版)
5drag,"五龙争霸 (20161011, NSW/ACT)"
5dragce,"五龙争霸 - 现金快递 (0152309, 美版)"
5dragsp,"五龙争霸 (20161011, NSW/ACT, Show Program)"
5koipp,"五锦争霸 - 权力支付 (10250711, NSW/ACT)"
600,乌龟冒险 600 
60in1,"60 合 1 MAME 盗版 (版本 3.00, ICD-V000)"
64street,64 街 - 一个侦探的故事 (世界版)
64streetj,"64 街 - 一个侦探的故事 (日版, 第 1 套)"
64streetja,"64 街 - 一个侦探的故事 (日版, 第 2 套)"
720,720°滑板小子 (修正版 4)
720g,"720°滑板小子 (德版, 修正版 2)"
720gr1,"720°滑板小子 (德版, 修正版 1)"
720r1,720°滑板小子 (修正版 1)
720r2,720°滑板小子 (修正版 2)
720r3,720°滑板小子 (修正版 3)
7in1ss,七合一体育馆 
7jigen,7 次元之妖精达 (日版)
7mezzo,七依之间 
7ordi,7 张牌 (韩版)
7smash,7 杀水果机 
7toitsu,七对子 - 一万去还有一万 
800fath,海底潜航 - 800 海里 
800fatha,海底潜航 - 800 海里 (旧版)
86lions,86 雄狮 
88games,科乐美运动会 '88 
8ball,电视抢 8 撞球 
8ball1,电视抢 8 撞球 (修正版.1)
8ballact,抢 8 撞球 (DK 转换板)
8ballact2,抢 8 撞球 (DKJr 转换板)
8bpm,抢 8 撞球 (吃豆人 转换板)
98best44,'98 NeoPri 最佳 44 (日版) (T4i 3.07)
99bottles,99 瓶啤酒 
99lstwar,99 最后之战 (第 1 套)
99lstwara,99 最后之战 (第 2 套)
99lstwarb,99 最后之战 (盗版)
99lstwark,99 最后之战 (Kyugo)
9ballsht,花式 9 球 (第 1 套)
9ballsht2,花式 9 球 (第 2 套)
9ballsht3,花式 9 球 (第 3 套)
9ballshtc,花式 9 球锦标赛 
a2600,雅达利 2600 (NTSC)
a2600p,雅达利 2600 (PAL)
a51mxr3k,"战区 51 / 终极武装 (R3000, 2/10/98)"
a51mxr3ka,"战区 51 / 终极武装 (R3000, 2/02/98)"
a51site4,"战区 51: 场景 4 (HD 修正版 2.01, September 7, 1998)"
a51site4a,"战区 51: 场景 4 (HD 修正版 2.0, September 11, 1998)"
a5200,雅达利 5200 
a7800,雅达利 7800 (NTSC)
a7800p,雅达利 7800 (PAL)
aadvent,"非洲大冒险 (Konami Endeavour, 俄版)"
aafb,全美职业橄榄球 (修正版 E)
aafbb,全美职业橄榄球 (修正版 B)
aafbc,全美职业橄榄球 (修正版 C)
aafbd2p,"全美职业橄榄球 (修正版 D, 2 人游戏)"
aar_101,艾伦斯班林 (1.01)
aavenger,空降复仇者 弹珠台 
abacus,算盘 (版本 1.0)
abaseb,雅达利棒球 79 (第 1 套)
abaseb2,雅达利棒球 79 (第 2 套)
abattle,宇宙战争 (第 1 套)
abattle2,宇宙战争 (第 2 套)
abcheck,异常检查 
abclimax,冲破火网 高潮 (海外版)
abcop,宇宙骑警 (世界版) (FD1094 317-0169b)
abcopd,宇宙骑警 (世界版) (盗版自 FD1094 317-0169b set)
abcopj,宇宙骑警 (日版) (FD1094 317-0169b)
abcopjd,宇宙骑警 (日版) (盗版自 FD1094 317-0169b set)
abigchs,大亨 (俄版) (Atronic)
ablast,轰天雷 / 企鹅兄弟 (A-Blast) (日版)
ablastb,轰天雷 / 企鹅兄弟 (A-Blast) (盗版)
abnudge,动物水果机 (版本 2.1 Dual)
abnudgeb,"动物水果机 (版本 2.0, 第 1 套)"
abnudged,"动物水果机 (版本 2.0, 第 2 套)"
abnudgeo,动物水果机 (版本 1.7)
abscam,贿赂丑闻 
abunai,危险放课后 (日版 890325)
aburner,冲破火网 
aburner2,冲破火网 II 
aburner2g,冲破火网 II (德版)
abv106,空降 
abv106r,空降 (Redemption)
ac1bbclb,大型休息俱乐部 (Ace) (ACESYS1) (第 1 套)
ac1bbclba,大型休息俱乐部 (Ace) (ACESYS1) (第 2 套)
ac1bluec,蓝色筹码 (Pcp) (ACESYS1) (第 1 套)
ac1blueca,蓝色筹码 (Pcp) (ACESYS1) (第 2 套)
ac1bluecb,蓝色筹码 (Pcp) (ACESYS1) (第 3 套)
ac1bluecc,蓝色筹码 (Pcp) (ACESYS1) (第 4 套)
ac1bluecd,蓝色筹码 (Pcp) (ACESYS1) (第 5 套)
ac1clbmn,俱乐部财富 (Ace) (ACESYS1) (第 1 套)
ac1clbsv,俱乐部土豪 (Ace) (ACESYS1)
ac1clbxt,Xtra俱乐部 (Ace) (ACESYS1) (第 1 套)
ac1clbxta,Xtra俱乐部 (Ace) (ACESYS1) (第 2 套)
ac1cshtw,金钱大夏 (Ace) (ACESYS1)
ac1dbldx,双人豪华包间 (Pcp) (ACESYS1)
ac1gogld,淘金去 (Ace) (ACESYS1) (第 1 套)
ac1hideh,喜德喜豪华版 (Ace) (ACESYS1) (第 1 套)
ac1hideha,喜德喜豪华版 (Ace) (ACESYS1) (第 2 套)
ac1hotpf,利滚滚 (Ace) (ACESYS1)
ac1nudbk,微赢 (Pcp) (ACESYS1) (第 1 套)
ac1nudbka,微赢 (Pcp) (ACESYS1) (第 2 套)
ac1nudbkb,微赢 (Pcp) (ACESYS1) (第 3 套)
ac1nudbkc,微赢 (Pcp) (ACESYS1) (第 4 套)
ac1nudbkd,微赢 (Pcp) (ACESYS1) (第 5 套)
ac1piaca,再战赌场 (Ace) (ACESYS1)
ac1piacl,再战俱乐部 (Ace) (ACESYS1) (第 1 套)
ac1piacla,再战俱乐部 (Ace) (ACESYS1) (第 2 套)
ac1piaclb,再战俱乐部 (Ace) (ACESYS1) (第 3 套)
ac1piaclc,再战俱乐部 (Ace) (ACESYS1) (第 4 套)
ac1primt,黄金时间 (Ace) (ACESYS1) (第 1 套)
ac1prmcl,高级俱乐部 (Ace) (ACESYS1) (第 1 套)
ac1prmcla,高级俱乐部 (Ace) (ACESYS1) (第 2 套)
ac1prmclb,高级俱乐部 (Ace) (ACESYS1) (第 3 套)
ac1prmclc,高级俱乐部 (Ace) (ACESYS1) (第 4 套)
ac1pster,英镑 (Ace) (ACESYS1)
ac1pstrt,镑架 (Pcp) (ACESYS1)
ac1roll,动吧 (Pcp) (ACESYS1) (第 1 套)
ac1rolla,动吧 (Pcp) (ACESYS1) (第 2 套)
ac1rollb,动吧 (Pcp) (ACESYS1) (第 3 套)
ac1rundx,亚军豪华俱乐部 (Ace) (ACESYS1) (第 1 套)
ac1rundxa,亚军豪华俱乐部 (Ace) (ACESYS1) (第 2 套)
ac1shid,超级喜德喜 (Ace) (ACESYS1) (第 1 套)
ac1shida,超级喜德喜 (Ace) (ACESYS1) (第 2 套)
ac1sstrk,追星族 (Pcp) (ACESYS1) (第 1 套)
ac1sstrka,追星族 (Pcp) (ACESYS1) (第 2 套)
ac1sstrkb,追星族 (Pcp) (ACESYS1) (第 3 套)
ac1taklv,接受或放弃 (Ace) (ACESYS1) (第 1 套)
ac1totb,比尔的顶峰 (Ace) (ACESYS1)
ac1unk,未知的王牌系统1游戏 
ac1xpres,施普雷斯 (Pcp) (ACESYS1)
academy,墨菲斯托学院 (英版)
academyg,"墨菲斯托学院 (德版, 06-03-89)"
academyga,"墨菲斯托学院 (德版, 04-10-88)"
ace,飞机大战 
aceattac,王牌攻击者 (FD1094 317-0059)
aceattaca,"王牌攻击者 (日版, System 16A, FD1094 317-0060)"
