file,name
88games,科乐美运动会 '88
flagrall,'96 旗帜拉力赛
99lstwarb,'99 - 最后一战 (盗版)
99lstwark,'99 - 最后一战 (Kyugo)
99lstwar,'99 - 最后一战 (第 1 套)
99lstwara,'99 - 最后一战 (第 2 套)
spec_licencetokill,007 - 杀人执照 (128K)
spec_007liveandletdie,007 之你死我活 (128K)
msx_007tld,007 - 黎明生机 (欧版)
spec_007spywholovedme,007 之海底城 (128K)
sg1k_jb007a,"詹姆士邦 007 (日版, 版本 2.6, OMV)"
sg1k_jb007,"詹姆士邦 007 (日版, 版本 2.7, OMV)"
sg1k_jb007t,詹姆士邦 007 (台湾版)
10yard85,"十码大战 '85 (美版, Taito 授权)"
10yardj,十码大战 (日版)
msx_10yard,十码大战 (日版)
msx_10yarda,"十码大战 (日版, 替换版)"
nes_10yardfight,十码大战 (美版)
10yard,"十码大战 (世界版, 第 1 套)"
spec_100stolnik,100 - 桌子
gtmro,1000 英里大师拉力赛 (94/05/10)
gtmrb,1000 英里大师拉力赛 (94/05/26)
gtmra,1000 英里大师拉力赛 (94/06/13)
gtmr,1000 英里大师拉力赛 (94/07/18)
spec_10thframe,第十帧
md_12in1,12 合 1
md_13mahjan,13 张麻将 - 98 美少女篇 (中文版)
md_16tongnk,"世嘉频道 (日版, 罐装 MegaCD 游戏提取版)"
md_16ton,"世嘉频道 (日版, 世嘉网络)"
md_16zhan,十六张麻将 (中文版)
md_16zhangmah,16 张麻将 (台湾版)(未授权)
md_16bitrhythmld,16 位 - 节奏之地 (自制)
cprogolf18,十八届职业高尔夫挑战赛 (DECO 磁带版)(日版)
progolf,18 洞职业高尔夫 (第 1 套)
progolfa,职业高尔夫球 (第 2 套)
spec_180,180 (128K)
spec_180_48,180 (48K)
msx_180,180 度
fds_19neunzehnj,19 - 模拟战 (日版)
fds_19neunzehn,19 - 模拟战 (英语翻译)
sgx_1941,1941 - 反击战
1941u,1941 - 反击战 (900227 美版)
1941,1941 - 反击战 (900227 世界版)
1941j,1941 - 反击战 (日版)
1941r1,1941 - 反击战 (世界版)
spec_1942,1942 (48K)
1942c64,1942 - 空中大战 (C64 音乐版)
1942b,1942 - 空中大战 (第一版)
nes_1942,"1942 (日版, 美版)"
msx_1942,1942 (日版)
msx_1942a,"1942 (日版, 替换版)"
msx_1942k,1942 (韩版)
1942a,1942 - 空中大战 (修正版 A)
1942abl,"1942 - 空中大战 (修正版 A, 盗版)"
1942,1942 - 空中大战 (修正版 B)
1942w,1942 - 空中大战 (Williams Electronics 授权)
spec_1943,1943 - 中途岛海战 (48K)
nes_1943,1943 - 中途岛海战 (美版)
pce_1943kai,1943 改
1943kai,1943 改 - 中途岛海战 (日版)
1943bj,1943 - 中途岛海战 (盗版)
1943ja,1943 - 中途岛海战 (日版)
1943jah,"1943 - 中途岛海战 (盗版, 无保护修改版)"
1943j,"1943 - 中途岛海战 (日版, 修正版 B)"
1943b,"1943 - 中途岛海战 (盗版 第 1 套, 日版修改版)"
1943b2,"1943 - 中途岛海战 (盗版 第 2 套, 日版修改版)"
1943,1943 - 中途岛海战 (欧版)
1943ua,1943 - 中途岛海战 (美版)
1943u,"1943 - 中途岛海战 (美版, 修正版 C)"
1943mii,1943 - 中途岛海战标记版 II (美版)
1944,1944 - 征服世界 (000620 欧版)
1944j,1944 - 征服世界 (000620 日版)
1944d,1944 - 征服世界 (000620 美版 凤凰版)
1944ad,"1944 - 征服世界 (000620 美版 凤凰版, 替换版)"
1944u,1944 - 征服世界 (000620 美版)
bgareggabl,1945二代 (空战之路中文修改版)
1945kiiin,"1945k III (较新版, OPCX1 机板)"
1945kiii,"1945k III (较新版, OPCX2 机板)"
1945kiiio,"1945k III (较旧版, OPCX1 机板)"
19xxar1,19XX - 命运否决战 (951207 亚洲版)
19xxjr2,19XX - 命运否决战 (951207 日版)
19xxd,19XX - 命运否决战 (951207 美版 凤凰版)
19xxu,19XX - 命运否决战 (951207 美版)
19xxb,19XX - 命运否决战 (951218 巴西版)
19xxh,19XX - 命运否决战 (951218 西班牙版)
19xxjr1,19XX - 命运否决战 (951225 日版)
19xxa,19XX - 命运否决战 (960104 亚洲版)
19xx,19XX - 命运否决战 (951207 欧版)
19xxj,"19XX - 命运否决战 (960104 日版, 黄色外壳)"
spec_1stdivmanager,第一部长
md_2psymmac,2 合 1 - 心理弹珠台 & 微型机车 (欧版)
openice,冰上曲棍球挑战赛 - 二对二双打 (修正版 1.21)
openicea,冰上曲棍球挑战赛 - 二对二双打 (修正版 1.2A)
sms_20em1,20 合 1 (巴西版)
nes_2010,2010 - 街头霸王 (日版)
cv_2010,2010 - 图形行动赛
cv_2010p1,2010 - 图形行动赛 (工程版 v44)
cv_2010p,2010 - 图形行动赛 (工程版 v54)
2020bb,2020 超级棒球 (第 1 套)
2020bba,2020 超级棒球 (第 2 套)
2020bbh,2020 超级棒球 (第 3 套)
md_2020bbj,超级棒球 2020 (日版)
spec_2088,#N/A
pce_21emon,21 卫门 - 目标酒店大亨!!
spec_21erotic,情色 21 点
spec_2112ad,公元 2112 年
3countba,三回合较量 / 火线摔角 (NGM-043)
3countb,三回合较量 / 火线摔角 (NGM-043)(NGH-043)
md_3in1fwt,3 合 1 回到原点 - 世界足球锦标赛 - Tecmo 世界杯 92 (侵权版)
