1,F - Zero ,J,最高时速零式未来赛车,J, RCG
2,Super Mario Advance ,J,超级马里奥A,J, ACT
3,Battle Network Rockman EXE ,J,洛克人 - 网络战斗EXE1,J, A·RPG
4,Kurukuru Kururin ,J,滚滚棒,J, PUZ
5,Mr. Driller 2 ,J,钻地先生2,J, PUZ
6,Chu Chu Rocket! ,M5,咕噜咕噜啾啾火箭队,M5, PUZ
7,Akumajou Dracula - Circle of the Moon ,J,恶魔城 - 月之轮回,J, A·RPG
8,Advance GTA ,U,GTA职业概念锦标赛车,E, RCG
9,Konami Wai Wai Racing Advance ,J,科纳米哇哇赛车,J, RCG
10,Bakunetsu Dodge Ball Fighters ,J,超级躲避球A,J, SPG
11,Pinobee no Daibouken ,J,匹诺比之大冒险,J, ACT
12,Power Pro Kun Pocket 3 ,J,实况Q版口袋棒球3,J, TCG
13,Napoleon ,J,拿破仑,J, RTS
14,Zen - Nippon GT Senshuken ,J,全日本顶级GT选手锦标赛车,E, RCG
15,Fire Pro Wrestling A ,J,火炎职业摔跤A,J, SPG
16,Tweety no Hearty Party ,J,托蒂的欢乐派对之不可思议的宝石,J, PUZ
17,JGTO Kounin Golf Master - Japan Golf Tour Game ,J,高尔夫大师,J, SPG
18,Winning Post ,J,冠军赛马,J, TCG
19,Silent Hill - Play Novel ,J,寂静岭,J, AVG
20,Yu - Gi - Oh! Dungeon Dice Monsters ,J,游戏王 - 地牢方块妖怪,J, RPG
21,Boku ha Koukuu Kanseikan ,J,我是航空管制官,J, ETC
22,J.League Pocket ,J,J联盟足球口袋版,J, TCG
23,Momotarou Matsuri ,J,桃太郎祭典,J, RPG
24,Monster Guardians ,J,妖怪守护者,J, SLG
25,Super Mario Advance ,U,超级马里奥A,E, ACT
26,Final Fight One ,J,快打旋风ONE,J, ACT
27,Bomberman Story ,J,炸 - 弹人传说,J, A·RPG
28,Iridion 3D ,U,伊登战机,E, STG
29,Pinobee - Wings of Adventure ,U,匹诺比的冒险徽章,E, ACT
30,Ready 2 Rumble Boxing - Round 2 ,U,暴力拳击2,E, SPG
31,Konami Krazy Racers ,U,科纳米疯狂赛车手,E, RCG
32,Castlevania - Circle of the Moon ,E,恶魔城 - 月之轮回,E, A·RPG
33,Tony Hawk's Pro Skater 2 ,U,托尼·霍克职业滑板2,E, SPG
34,GT Advance - Championship Racing ,U,GT职业概念锦标车赛,E, RCG
35,Namco Museum ,U,南梦宫经典博物馆,E, ETC
36,Chu Chu Rocket! ,M5,咕噜咕噜啾啾火箭队,M5, PUZ
37,Earthworm Jim ,U,蚯蚓吉姆,E, ACT
38,Pitfall - The Mayan Adventure ,U,玛亚历险,E, ACT
39,Army Men Advance ,M5,玩具军人,M5, ACT
40,Super Dodge Ball Advance ,U,超级躲避球A,E, SPG
41,F - Zero - Maximum Velocity ,U,最高时速零式未来赛车,E, RCG
42,Fire Pro Wrestling ,U,火炎职业摔跤,E, SPG
43,Konami Krazy Racers ,E,科拿米疯狂赛车手,E, RCG
44,Ready 2 Rumble Boxing - Round 2 ,M3,暴力拳击2,M3, SPG
45,Castlevania - Circle of the Moon ,U,恶魔城 - 月之轮回,E, A·RPG
46,Rayman Advance ,M5,雷曼A,M5, ACT
47,Tactics Ogre Gaiden - The Knight of Lodis ,J,皇家骑士团外传,J, SLG
48,Kurukuru Kururin ,E,滚滚棒,E, PUZ
49,Top Gear GT Championship ,E,全日本顶级GT选手锦标赛车,E, RCG
50,Super Mario Advance ,E,超级马里奥A,E, ACT
51,Rayman Advance ,M5,雷曼A,M5, ACT
52,Tweety and the Magic Gems ,E,托蒂的欢乐派对之不可思议的宝石,E, PUZ
53,Tony Hawk's Pro Skater 2 ,G,托尼·霍克职业滑板2,G, SPG
54,Narikiri Jockey Game - Yuushun Rhapsody ,J,优俊赛马,J, TCG
55,Choro Q Advance ,J,Q版赛车A,J, RCG
56,Toyrobo Force ,J,玩具机器人,J, S·RPG
57,Hot Potato! ,U,火热的马铃薯,E, PUZ
58,Bomberman Tournament ,U,炸弹人传说,E, A·RPG
59,Tony Hawk's Pro Skater 2 ,F,托尼·霍克职业滑板2,F, SPG
60,Breath of Fire - Ryuu no Senshi ,J,龙战士,J, RPG
61,Yu - Gi - Oh! Duel Monsters 5 Expert 1 ,J,游戏王5 - 双重恶魔,J, CAG
62,Super Street Fighter II X - Revival ,J,超级街霸II - X复甦,J, FTG
63,Mahjong Keiji ,J,麻雀刑事,J, TAB
64,Pac - Man Collection ,U,吃豆小精灵全集,E, ETC
65,Titi et les Bijoux Magiques ,F,托蒂的欢乐派对之不可思议的宝石,F, TAB
66,EX Monopoly ,J,大富翁EX垄断,J, TAB
